KNXP,TWENTYNINE PALMS EAF
KNXX,WILLOW GROVE NAS
KNYG,QUANTICO MCAF
KNYL,YUMA MCAS YUMA INTL
KNZX,HAROLD NOLF
KNZY,NORTH ISLAND NAS
KO53,MEDFORD MUNI
KOAJ,ALBERT J ELLIS
KOAK,METROPOLITAN OAKLAND INTL
KOCF,OCALA INTL JIM TAYLOR FLD
KODO,ODESSA SCHLEMEYER FLD
KOFF,OFFUTT AFB
KOGD,OGDEN HINCKLEY
KOKC,WILL ROGERS WORLD
KOMA,EPPLEY AFLD
KOQU,QUONSET STATE
KORF,NORFOLK INTL
KORL,EXECUTIVE
KOZR,CAIRNS AAF
KPAE,SNOHOMISH CO
KPAM,TYNDALL AFB
KPBI,PALM BEACH INTL
KPDX,PORTLAND INTL
KPHF,NEWPORT NEWS WILLIAMSBURG INTL
KPHL,PHILADELPHIA INTL
P18,PAPAGO AAF
KPHX,PHOENIX SKY HARBOR INTL
KPIA,GREATER PEORIA RGNL
KPIB,HATTIESBURG LAUREL RGNL
KPIE,ST PETE CLEARWATER INTL
KPIH,POCATELLO RGNL
KPIL,PORT ISABEL CAMERON CO
KPIT,PITTSBURGH INTL
KPKV,CALHOUN CO
KPMD,PALMDALE AF PLANT NR 42
KPNC,PONCA CITY RGNL
KPNS,PENSACOLA GULF COAST RGNL
KPOB,POPE AFB
KPOE,POLK AAF
KPQL,TRENT LOTT INTL
KPRB,PASO ROBLES MUNI
KPRN,MAC CRENSHAW MEM
KPRO,PERRY MUNI
KPRZ,PORTALES MUNI
KPSC,TRI CITIES
KPSM,PEASE ANGS -  NH
KPSX,PALACIOS MUNI
KPUB,PUEBLO MEM
KPVD,THEODORE FRANCIS GREEN STATE
KPVJ,PAULS VALLEY MUNI
KPVW,HALE CO
KPWA,WILEY POST
KPWM,PORTLAND INTL JETPORT
KRBM,ROBINSON AAF
KRCA,ELLSWORTH AFB
KRDD,REDDING MUNI
KRDG,READING RGNL CARL A SPAATZ FLD
KRDR,GRAND FORKS AFB
KRFD,GREATER ROCKFORD
KRIC,BYRD FIELD -  VA
KRIV,MARCH ARB -  CA
KRKP,ARANSAS CO
KRKS,ROCK SPRINGS SWEETWATER CO
KRME,GRIFFISS AIRFIELD
KRND,RANDOLPH AFB
KRNO,RENO TAHOE INTL
KRNT,RENTON MUNI
KROA,ROANOKE RGNL WOODRUM FLD
KROW,ROSWELL INTL AIR CENTER
KRST,ROCHESTER INTL
KRSW,SOUTHWEST FLORIDA INTL
KRYM,RAY S MILLER AAF
KRYN,RYAN FLD
KSAC,SACRAMENTO EXECUTIVE
KSAF,SANTA FE MUNI
KSAT,SAN ANTONIO INTL
KSAV,SAVANNAH HILTON HEAD INTL
KSAW,SAWYER INTL
KSBY,SALISBURY OCEAN CITY WICOMICO RGNL
KSCH,SCHENECTADY CO
KSCK,STOCKTON METRO
KSDF,LOUISVILLE INTL STANDIFORD FIELD -  KY
KSEA,SEATTLE TACOMA INTL
KSEM,CRAIG FLD
KSEQ,RANDOLPH AFB AUX
KSGF,SPRINGFIELD BRANSON NATL
KSGH,SPRINGFIELD-BECKLEY MUNICIPAL
KSGT,STUTTGART MUNI
KSGU,ST GEORGE MUNI
KSH1,SHELBY AUX FIELD
KSHV,SHREVEPORT RGNL
KSJT,SAN ANGELO RGNL MATHIS FLD
KSKA,FAIRCHILD AFB
KSKF,KELLY AFB
KSLC,SALT LAKE CITY INTL
KSLI,LOS ALAMITOS AAF
KSLJ,HAGLER AAF
KSLN,SALINA MUNI
KSMF,SACRAMENTO INTL
KSNS,SALINAS MUNI
KSPI,ABRAHAM LINCOLN CAPITAL
KSPS,SHEPPARD AFB WICHITA FALLS MUNI
KSRQ,SARASOTA BRADENTON INTL
KSSC,SHAW AFB
KSSF,STINSON MUNI
KSSI,MCKINNON ST SIMONS ISLAND
KSSN,SENECA AAF
KSTJ,ROSECRANS MEMORIAL ARPT
KSTL,LAMBERT ST. LOUIS IAP
KSUS,SPIRIT OF ST LOUIS
KSUU,TRAVIS AFB
KSUX,SIOUX GATEWAY AIRPORT
KSVC,GRANT CO
